timestamp,temperatura,pH ,conductividad,TDS,Sal.[psu],Press.[psi],DO_mgL
2021-11-17 11:44:29,16.33,5.7,647,0.324,0.32,10.887,4.7
2021-11-17 11:44:34,16.33,5.7,647,0.322999999999999,0.32,10.885,4.69
2021-11-17 11:44:39,16.34,5.7,647,0.322999999999999,0.32,10.885,4.67
2021-11-17 11:44:44,16.34,5.7,647,0.322999999999999,0.32,10.886,4.64
2021-11-17 11:44:49,16.34,5.7,647,0.324,0.32,10.887,4.62
2021-11-17 11:44:54,16.34,5.7,647,0.324,0.32,10.886,4.6
2021-11-17 11:44:59,16.34,5.7,647,0.322999999999999,0.32,10.887,4.59
2021-11-17 11:45:04,16.34,5.7,647,0.324,0.32,10.884,4.58
2021-11-17 11:45:09,16.34,5.7,647,0.324,0.32,10.884,4.55
2021-11-17 11:45:14,16.34,5.7,647,0.324,0.32,10.882,4.54
2021-11-17 11:45:19,16.34,5.7,647,0.322999999999999,0.32,10.882,4.55
2021-11-17 11:45:24,16.34,5.7,647,0.322999999999999,0.32,10.882,4.55
2021-11-17 11:45:29,16.35,5.7,647,0.322999999999999,0.32,10.883,4.53
2021-11-17 11:45:34,16.35,5.7,647,0.322999999999999,0.32,10.885,4.53
2021-11-17 11:45:39,16.35,5.7,647,0.322999999999999,0.32,10.883,4.6
2021-11-17 11:45:44,16.36,5.7,647,0.322999999999999,0.32,10.882,4.7
2021-11-17 11:45:49,16.36,5.7,647,0.322999999999999,0.32,10.884,4.75
2021-11-17 11:45:54,16.36,5.7,647,0.322999999999999,0.32,10.884,4.75
2021-11-17 11:45:59,16.36,5.7,647,0.322999999999999,0.32,10.882,4.74
2021-11-17 11:46:04,16.36,5.7,647,0.322999999999999,0.32,10.882,4.75
2021-11-17 11:46:09,16.36,5.7,646,0.322999999999999,0.32,10.882,4.74
2021-11-17 11:46:14,16.36,5.7,646,0.322999999999999,0.32,10.882,4.72
2021-11-17 11:46:19,16.36,5.7,646,0.322999999999999,0.32,10.882,4.76
2021-11-17 11:46:24,16.36,5.7,646,0.322999999999999,0.32,10.8809999999999,4.8
2021-11-17 11:46:29,16.36,5.7,647,0.322999999999999,0.32,10.882,4.77
2021-11-17 11:46:34,16.36,5.7,647,0.322999999999999,0.32,10.8809999999999,4.74
2021-11-17 11:46:39,16.36,5.7,647,0.322999999999999,0.32,10.879,4.72
2021-11-17 11:46:44,16.36,5.7,647,0.322999999999999,0.32,10.877,4.71
2021-11-17 11:46:49,16.36,5.7,647,0.322999999999999,0.32,10.878,4.71
2021-11-17 11:46:54,16.36,5.7,647,0.322999999999999,0.32,10.877,4.73
2021-11-17 11:46:59,16.36,5.7,647,0.322999999999999,0.32,10.878,4.76
2021-11-17 11:47:04,16.36,5.7,647,0.324,0.32,10.877,4.74
2021-11-17 11:47:09,16.37,5.7,647,0.324,0.32,10.877,4.7
2021-11-17 11:47:14,16.37,5.7,647,0.322999999999999,0.32,10.878,4.66
2021-11-17 11:47:19,16.37,5.7,647,0.322999999999999,0.32,10.879,4.62
2021-11-17 11:47:24,16.37,5.7,647,0.322999999999999,0.32,10.879,4.59
2021-11-17 11:47:29,16.37,5.7,647,0.322999999999999,0.32,10.878,4.61
2021-11-17 11:47:34,16.37,5.7,647,0.322999999999999,0.32,10.877,4.64
2021-11-17 11:47:39,16.37,5.7,647,0.322999999999999,0.32,10.875,4.61
2021-11-17 11:47:44,16.37,5.7,647,0.322999999999999,0.32,10.874,4.57
2021-11-17 11:47:49,16.38,5.7,647,0.322999999999999,0.32,10.876,4.53
2021-11-17 11:47:54,16.38,5.7,647,0.322999999999999,0.32,10.876,4.52
2021-11-17 11:47:59,16.38,5.7,647,0.324,0.32,10.877,4.5
2021-11-17 11:48:04,16.38,5.7,647,0.324,0.32,10.878,4.51
2021-11-17 11:48:09,16.37,5.7,647,0.324,0.32,10.877,4.51
2021-11-17 11:48:14,16.37,5.7,647,0.322999999999999,0.32,10.876,4.52
2021-11-17 11:48:19,16.37,5.7,647,0.322999999999999,0.32,10.875,4.56
2021-11-17 11:48:24,16.37,5.7,647,0.324,0.32,10.875,4.69
2021-11-17 11:48:29,16.38,5.7,647,0.324,0.32,10.873,4.73
2021-11-17 11:48:34,16.38,5.7,647,0.324,0.32,10.874,4.75
2021-11-17 11:48:39,16.38,5.7,647,0.324,0.32,10.874,4.75
2021-11-17 11:48:44,16.38,5.7,647,0.324,0.32,10.874,4.75
2021-11-17 11:48:49,16.38,5.7,647,0.324,0.32,10.873,4.71
2021-11-17 11:48:54,16.38,5.7,647,0.324,0.32,10.875,4.66
2021-11-17 11:48:59,16.38,5.7,647,0.324,0.32,10.873,4.62
2021-11-17 11:49:04,16.38,5.7,647,0.324,0.32,10.8709999999999,4.59
2021-11-17 11:49:09,16.38,5.7,647,0.324,0.32,10.87,4.55
2021-11-17 11:49:14,16.38,5.7,647,0.324,0.32,10.87,4.54
2021-11-17 11:49:19,16.38,5.7,647,0.324,0.32,10.868,4.54
2021-11-17 11:49:24,16.38,5.7,648,0.324,0.32,10.869,4.56
2021-11-17 11:49:29,16.39,5.7,647,0.324,0.32,10.866,4.56
2021-11-17 11:49:34,16.39,5.7,647,0.324,0.32,10.866,4.55
2021-11-17 11:49:39,16.39,5.69,647,0.322999999999999,0.32,10.868,4.58
2021-11-17 11:49:44,16.4,5.7,647,0.324,0.32,10.868,4.66
2021-11-17 11:49:49,16.41,5.69,647,0.324,0.32,10.867,4.65
2021-11-17 11:49:54,16.41,5.69,647,0.324,0.32,10.865,4.65
2021-11-17 11:49:59,16.39,5.69,647,0.324,0.32,10.866,4.63
2021-11-17 11:50:04,16.39,5.69,647,0.324,0.32,10.866,4.61
2021-11-17 11:50:09,16.39,5.69,647,0.324,0.32,10.866,4.59
2021-11-17 11:50:14,16.39,5.69,647,0.324,0.32,10.867,4.61
2021-11-17 11:50:19,16.39,5.69,648,0.324,0.32,10.868,4.61
2021-11-17 11:50:24,16.39,5.69,648,0.324,0.32,10.866,4.61
2021-11-17 11:50:29,16.39,5.69,648,0.324,0.32,10.866,4.62
2021-11-17 11:50:34,16.39,5.69,648,0.324,0.32,10.865,4.63
2021-11-17 11:50:39,16.39,5.69,648,0.324,0.32,10.866,4.61
2021-11-17 11:50:44,16.39,5.69,647,0.324,0.32,10.868,4.6
2021-11-17 11:50:49,16.39,5.69,647,0.324,0.32,10.867,4.62
2021-11-17 11:50:54,16.41,5.69,646,0.322999999999999,0.32,10.867,4.67
2021-11-17 11:50:59,16.41,5.69,646,0.322999999999999,0.32,10.866,4.7
2021-11-17 11:51:04,16.41,5.69,646,0.322999999999999,0.32,10.867,4.71
2021-11-17 11:51:09,16.41,5.69,646,0.322999999999999,0.32,10.866,4.74
2021-11-17 11:51:14,16.41,5.69,647,0.322999999999999,0.32,10.867,4.72
2021-11-17 11:51:19,16.41,5.69,647,0.322999999999999,0.32,10.868,4.82
2021-11-17 11:51:24,16.41,5.69,647,0.322999999999999,0.32,10.866,4.92
2021-11-17 11:51:29,16.41,5.69,647,0.322999999999999,0.32,10.866,4.92
2021-11-17 11:51:34,16.41,5.69,647,0.324,0.32,10.866,4.91
2021-11-17 11:51:39,16.41,5.69,647,0.324,0.32,10.866,4.94
2021-11-17 11:51:44,16.41,5.69,647,0.324,0.32,10.867,4.92
2021-11-17 11:51:49,16.41,5.69,648,0.324,0.32,10.864,4.9
2021-11-17 11:51:54,16.41,5.69,647,0.324,0.32,10.864,4.89
2021-11-17 11:51:59,16.41,5.69,647,0.324,0.32,10.864,4.89
2021-11-17 11:52:04,16.41,5.69,647,0.324,0.32,10.864,4.88
2021-11-17 11:52:09,16.41,5.69,647,0.324,0.32,10.864,4.87
2021-11-17 11:52:14,16.41,5.69,647,0.324,0.32,10.864,4.88
2021-11-17 11:52:19,16.42,5.69,646,0.322999999999999,0.32,10.864,4.86
2021-11-17 11:52:24,16.42,5.69,646,0.322999999999999,0.32,10.862,4.82
2021-11-17 11:52:29,16.42,5.69,646,0.322999999999999,0.32,10.863,4.78
2021-11-17 11:52:34,16.42,5.69,646,0.322999999999999,0.32,10.864,4.75
2021-11-17 11:52:39,16.42,5.69,646,0.322999999999999,0.32,10.864,4.72
2021-11-17 11:52:44,16.42,5.69,647,0.322999999999999,0.32,10.864,4.72
2021-11-17 11:52:49,16.42,5.69,647,0.322999999999999,0.32,10.865,4.8
2021-11-17 11:52:54,16.42,5.69,647,0.322999999999999,0.32,10.864,4.85
2021-11-17 11:52:59,16.42,5.69,647,0.322999999999999,0.32,10.862,4.9
2021-11-17 11:53:04,16.42,5.69,647,0.322999999999999,0.32,10.864,4.87
2021-11-17 11:53:09,16.43,5.69,647,0.322999999999999,0.32,10.864,4.83
2021-11-17 11:53:14,16.43,5.69,647,0.322999999999999,0.32,10.863,4.83
2021-11-17 11:53:19,16.43,5.69,646,0.322999999999999,0.32,10.862,4.81
2021-11-17 11:53:24,16.44,5.69,647,0.322999999999999,0.32,10.8609999999999,4.8
2021-11-17 11:53:29,16.44,5.69,646,0.322999999999999,0.32,10.8609999999999,4.78
2021-11-17 11:53:34,16.44,5.69,646,0.322999999999999,0.32,10.862,4.8
2021-11-17 11:53:39,16.44,5.69,646,0.322999999999999,0.32,10.86,4.85
2021-11-17 11:53:44,16.44,5.69,646,0.322999999999999,0.32,10.8609999999999,4.84
2021-11-17 11:53:49,16.44,5.69,646,0.322999999999999,0.32,10.86,4.8
2021-11-17 11:53:54,16.44,5.69,646,0.322999999999999,0.32,10.8609999999999,4.89
2021-11-17 11:53:59,16.44,5.69,646,0.322999999999999,0.32,10.86,4.9
2021-11-17 11:54:04,16.44,5.69,646,0.322999999999999,0.32,10.859,4.83
2021-11-17 11:54:09,16.44,5.69,647,0.322999999999999,0.32,10.86,4.78
2021-11-17 11:54:14,16.44,5.69,647,0.322999999999999,0.32,10.859,4.8
2021-11-17 11:54:19,16.44,5.69,646,0.322999999999999,0.32,10.8609999999999,4.84
2021-11-17 11:54:24,16.44,5.69,647,0.322999999999999,0.32,10.8609999999999,4.82
2021-11-17 11:54:29,16.44,5.69,647,0.322999999999999,0.32,10.86,4.79
2021-11-17 11:54:34,16.44,5.69,647,0.322999999999999,0.32,10.8579999999999,4.79
2021-11-17 11:54:39,16.44,5.69,647,0.322999999999999,0.32,10.859,4.81
2021-11-17 11:54:44,16.44,5.69,647,0.324,0.32,10.857,4.82
2021-11-17 11:54:49,16.44,5.69,647,0.324,0.32,10.8579999999999,4.79
2021-11-17 11:54:54,16.44,5.69,647,0.324,0.32,10.8579999999999,4.75
2021-11-17 11:54:59,16.44,5.69,647,0.324,0.32,10.855,4.75
2021-11-17 11:55:04,16.44,5.69,647,0.324,0.32,10.856,4.72
2021-11-17 11:55:09,16.44,5.69,647,0.322999999999999,0.32,10.856,4.7
2021-11-17 11:55:14,16.44,5.69,647,0.324,0.32,10.855,4.72
2021-11-17 11:55:19,16.45,5.69,647,0.322999999999999,0.32,10.856,4.72
2021-11-17 11:55:24,16.45,5.69,647,0.322999999999999,0.32,10.856,4.73
2021-11-17 11:55:29,16.45,5.69,647,0.322999999999999,0.32,10.856,4.74
2021-11-17 11:55:34,16.45,5.69,647,0.322999999999999,0.32,10.855,4.74
2021-11-17 11:55:39,16.45,5.69,647,0.322999999999999,0.32,10.855,4.76
2021-11-17 11:55:44,16.45,5.69,647,0.322999999999999,0.32,10.853,4.74
2021-11-17 11:55:49,16.46,5.69,646,0.322999999999999,0.32,10.852,4.69
2021-11-17 11:55:54,16.46,5.69,646,0.322999999999999,0.32,10.854,4.68
2021-11-17 11:55:59,16.46,5.69,646,0.322999999999999,0.32,10.854,4.67
2021-11-17 11:56:04,16.47,5.69,646,0.322999999999999,0.32,10.854,4.72
2021-11-17 11:56:09,16.46,5.69,646,0.322999999999999,0.32,10.854,4.74
2021-11-17 11:56:14,16.47,5.69,647,0.322999999999999,0.32,10.854,4.73
2021-11-17 11:56:19,16.47,5.69,647,0.322999999999999,0.32,10.853,4.7
2021-11-17 11:56:24,16.47,5.69,647,0.322999999999999,0.32,10.853,4.68
2021-11-17 11:56:29,16.47,5.69,647,0.322999999999999,0.32,10.852,4.65
2021-11-17 11:56:34,16.47,5.69,647,0.322999999999999,0.32,10.854,4.62
2021-11-17 11:56:39,16.47,5.69,647,0.322999999999999,0.32,10.853,4.59
2021-11-17 11:56:44,16.47,5.69,647,0.322999999999999,0.32,10.853,4.57
2021-11-17 11:56:49,16.47,5.69,647,0.322999999999999,0.32,10.854,4.55
2021-11-17 11:56:54,16.47,5.69,647,0.322999999999999,0.32,10.854,4.53
2021-11-17 11:56:59,16.47,5.69,647,0.324,0.32,10.854,4.52
2021-11-17 11:57:04,16.47,5.69,647,0.324,0.32,10.853,4.51
2021-11-17 11:57:09,16.47,5.69,647,0.324,0.32,10.853,4.52
2021-11-17 11:57:14,16.47,5.69,647,0.324,0.32,10.854,4.54
2021-11-17 11:57:19,16.47,5.69,648,0.324,0.32,10.853,4.54
2021-11-17 11:57:24,16.47,5.69,648,0.324,0.32,10.853,4.56
2021-11-17 11:57:29,16.47,5.69,648,0.324,0.32,10.853,4.56
2021-11-17 11:57:34,16.47,5.69,648,0.324,0.32,10.852,4.56
2021-11-17 11:57:39,16.47,5.69,647,0.324,0.32,10.852,4.55
2021-11-17 11:57:44,16.48,5.69,647,0.324,0.32,10.853,4.57
2021-11-17 11:57:49,16.48,5.69,647,0.322999999999999,0.32,10.852,4.59
2021-11-17 11:57:54,16.48,5.69,647,0.322999999999999,0.32,10.8509999999999,4.61
2021-11-17 11:57:59,16.48,5.69,647,0.322999999999999,0.32,10.8509999999999,4.58
2021-11-17 11:58:04,16.48,5.69,647,0.322999999999999,0.32,10.853,4.57
